iter	Logloss
0	0.6666527246
1	0.6508561775
2	0.6320700274
3	0.615418008
4	0.6043875659
5	0.5870079155
6	0.5828497184
7	0.5667719836
8	0.5525659468
9	0.5407443108
10	0.5340811284
11	0.5264111201
12	0.5223903987
13	0.5183798282
14	0.5140221033
15	0.5075583967
16	0.5003004113
17	0.4982126208
18	0.4960893741
19	0.4922466455
20	0.4867482218
21	0.4823581097
22	0.4782687208
23	0.4747877485
24	0.4711005007
25	0.4688179351
26	0.4672592978
27	0.4650735629
28	0.4635471757
29	0.4610988963
30	0.4601740703
31	0.4583536303
32	0.4561485463
33	0.455245166
34	0.4534629836
35	0.4513071279
36	0.4502018431
37	0.4495925534
38	0.4479891033
39	0.4470189924
40	0.4464980317
41	0.4455583487
42	0.4446169271
43	0.4433339632
44	0.4428912221
45	0.4420762727
46	0.4420713467
47	0.4415431192
48	0.4406837171
49	0.4392450159
50	0.438901095
51	0.4385580169
52	0.4377466736
53	0.436247653
54	0.4359917316
55	0.435452337
56	0.4348914933
57	0.4337240866
58	0.4333029342
59	0.4332477566
60	0.4326038378
61	0.4312605952
62	0.4307292339
63	0.4300188114
64	0.4285475424
65	0.4275950885
66	0.4270205534
67	0.4266456293
68	0.426183661
69	0.4261666442
70	0.4253890981
71	0.4246137419
72	0.4242002579
73	0.4236510634
74	0.4231321318
75	0.4225804178
76	0.4222853407
77	0.4215372998
78	0.4212040742
79	0.4208279164
80	0.4203194001
81	0.4199524036
82	0.4196201251
83	0.419148175
84	0.4183806369
85	0.4179919742
86	0.4172840347
87	0.4170186377
88	0.4167101088
89	0.416489903
90	0.4163351358
91	0.4160036428
92	0.4159278371
93	0.4157558838
94	0.4155536533
95	0.4153022951
96	0.4143514963
97	0.4140633355
98	0.4137103615
99	0.413161603
100	0.4128916729
101	0.4127298948
102	0.4124556379
103	0.4120492433
104	0.4114488333
105	0.4109756851
106	0.4108602857
107	0.4099691978
108	0.4092046509
109	0.4091056857
110	0.4089788008
111	0.4081944441
112	0.4076792241
113	0.4073226042
114	0.4067564066
115	0.4066339544
116	0.4064511158
117	0.4060176404
118	0.405915533
119	0.4056594751
120	0.4049928661
121	0.4047054663
122	0.4037326489
123	0.4034596622
124	0.4031326529
125	0.4027675606
126	0.4022784338
127	0.4020214988
128	0.4017338137
129	0.4015571254
130	0.4009567377
131	0.4003683715
132	0.4003021212
133	0.3999163172
134	0.3996382902
135	0.3993339106
136	0.3989899945
137	0.3988004631
138	0.3986941493
139	0.3983497992
140	0.3978108945
141	0.3975828599
142	0.3971322699
143	0.3967861452
144	0.3963476747
145	0.3959270181
146	0.3956547298
