iter	Passed	Remaining
0	13	6938
1	24	6076
2	45	7503
3	70	8744
4	97	9612
5	123	10173
6	146	10338
7	190	11732
8	222	12158
9	248	12196
10	280	12472
11	313	12762
12	341	12801
13	385	13380
14	420	13597
15	464	14059
16	489	13921
17	523	14031
18	559	14152
19	602	14471
20	637	14533
21	663	14425
22	699	14499
23	745	14783
24	776	14757
25	807	14722
26	820	14370
27	835	14091
28	848	13783
29	866	13575
30	893	13513
31	937	13704
32	966	13681
33	1008	13815
34	1045	13883
35	1090	14050
36	1138	14247
37	1164	14163
38	1200	14191
39	1214	13968
40	1239	13879
41	1271	13865
42	1304	13860
43	1347	13965
44	1370	13856
45	1418	13997
46	1442	13900
47	1470	13845
48	1495	13768
49	1538	13848
50	1563	13763
51	1576	13578
52	1601	13504
53	1633	13487
54	1670	13513
55	1702	13499
56	1725	13413
57	1749	13333
58	1790	13379
59	1801	13214
60	1848	13304
61	1875	13246
62	1885	13079
63	1907	12997
64	1951	13059
65	1976	12999
66	2025	13087
67	2068	13141
68	2127	13289
69	2163	13289
70	2210	13356
71	2225	13227
72	2268	13272
73	2289	13181
74	2314	13114
75	2360	13170
76	2395	13161
77	2420	13097
78	2430	12953
79	2440	12813
80	2450	12676
81	2459	12538
82	2479	12458
83	2509	12430
84	2536	12381
85	2562	12337
86	2590	12295
87	2636	12343
88	2672	12341
89	2692	12266
90	2722	12237
91	2734	12127
92	2751	12041
93	2782	12019
94	2811	11985
95	2833	11923
96	2870	11923
97	2900	11898
98	2954	11968
99	2990	11962
100	3013	11902
101	3057	11929
102	3103	11962
103	3131	11924
104	3160	11888
105	3208	11924
106	3235	11883
107	3279	11903
108	3326	11932
109	3360	11915
110	3403	11928
111	3436	11903
112	3459	11847
113	3510	11885
114	3545	11869
115	3593	11896
116	3638	11912
117	3684	11928
118	3733	11954
119	3780	11971
120	3829	11993
121	3866	11979
122	3920	12017
123	3978	12065
124	4025	12076
125	4069	12080
126	4113	12082
127	4161	12095
128	4195	12066
129	4218	12006
130	4227	11908
131	4241	11824
132	4284	11823
133	4328	11822
134	4370	11817
135	4408	11798
136	4419	11709
137	4431	11625
138	4442	11536
139	4478	11516
140	4526	11523
141	4556	11488
142	4592	11464
143	4641	11474
144	4666	11425
145	4698	11391
146	4727	11353
