iter	Passed	Remaining
0	12	6249
1	27	6734
2	39	6561
3	51	6399
4	64	6365
5	77	6393
6	90	6348
7	103	6361
8	116	6335
9	128	6293
10	141	6282
11	154	6298
12	168	6298
13	183	6370
14	197	6374
15	210	6362
16	223	6348
17	235	6314
18	248	6283
19	259	6237
20	271	6193
21	284	6184
22	295	6137
23	308	6120
24	321	6110
25	334	6105
26	349	6128
27	363	6125
28	376	6115
29	389	6106
30	402	6093
31	419	6135
32	434	6148
33	449	6155
34	469	6240
35	482	6220
36	495	6203
37	511	6220
38	524	6200
39	541	6229
40	554	6210
41	568	6198
42	587	6242
43	603	6252
44	619	6260
45	636	6279
46	650	6269
47	665	6264
48	679	6254
49	696	6266
50	710	6254
51	724	6237
52	738	6231
53	753	6219
54	769	6228
55	782	6204
56	796	6193
57	810	6177
58	825	6169
59	840	6160
60	856	6160
61	873	6169
62	891	6183
63	907	6184
64	920	6159
65	937	6167
66	953	6158
67	968	6151
68	983	6140
69	996	6122
70	1010	6107
71	1025	6098
72	1043	6105
73	1056	6084
74	1071	6069
75	1085	6055
76	1099	6041
77	1117	6047
78	1131	6029
79	1148	6028
80	1166	6035
81	1182	6029
82	1198	6020
83	1211	5998
84	1227	5992
85	1243	5985
86	1261	5986
87	1277	5979
88	1290	5958
89	1304	5941
90	1317	5922
91	1331	5906
92	1344	5883
93	1361	5881
94	1374	5860
95	1388	5845
96	1405	5838
97	1422	5835
98	1437	5821
99	1451	5806
100	1463	5783
101	1478	5768
102	1491	5750
103	1505	5731
104	1520	5721
105	1534	5703
106	1547	5683
107	1560	5665
108	1573	5643
109	1586	5625
110	1599	5605
111	1613	5589
112	1625	5568
113	1642	5562
114	1656	5545
115	1670	5528
116	1684	5515
117	1697	5494
118	1711	5478
119	1724	5460
120	1738	5443
121	1750	5425
122	1764	5408
123	1777	5391
124	1792	5377
125	1806	5362
126	1822	5353
127	1842	5355
128	1857	5342
129	1873	5332
130	1886	5314
131	1900	5297
132	1917	5291
133	1933	5282
134	1951	5277
135	1965	5260
136	1978	5242
137	1994	5231
138	2009	5219
139	2022	5201
140	2038	5189
141	2052	5175
142	2067	5161
143	2081	5145
144	2094	5127
145	2107	5110
146	2121	5093
147	2134	5076
148	2148	5061
149	2163	5047
150	2176	5029
151	2189	5012
152	2205	5001
153	2217	4982
154	2231	4967
155	2244	4950
156	2258	4934
157	2273	4921
158	2287	4905
159	2300	4889
160	2314	4874
161	2330	4862
162	2343	4845
163	2358	4831
164	2374	4820
165	2388	4805
166	2401	4788
167	2413	4770
168	2427	4754
169	2446	4748
170	2463	4740
171	2479	4728
172	2492	4712
173	2507	4698
174	2520	4681
175	2533	4664
176	2551	4655
177	2566	4643
178	2585	4635
179	2599	4620
180	2612	4604
181	2631	4598
182	2649	4589
183	2663	4573
184	2676	4556
185	2688	4538
186	2704	4526
187	2718	4511
188	2733	4497
189	2745	4479
190	2760	4465
191	2774	4450
192	2787	4434
193	2803	4422
194	2817	4406
195	2830	4390
196	2843	4373
197	2857	4358
198	2871	4343
199	2887	4330
200	2898	4312
201	2912	4297
202	2925	4279
203	2939	4265
204	2954	4251
205	2966	4234
206	2981	4220
207	2998	4209
208	3012	4194
209	3025	4178
210	3038	4161
211	3051	4145
212	3066	4131
213	3077	4112
214	3093	4100
215	3107	4085
216	3119	4068
217	3132	4051
218	3153	4045
219	3166	4029
220	3181	4016
221	3193	3998
222	3209	3986
223	3222	3971
224	3236	3956
225	3250	3941
226	3262	3923
227	3276	3909
228	3293	3897
229	3307	3882
230	3320	3867
231	3334	3851
232	3345	3834
233	3361	3821
234	3375	3806
235	3389	3791
236	3401	3774
237	3416	3761
238	3430	3745
239	3443	3730
240	3458	3717
241	3471	3701
242	3484	3685
243	3499	3671
244	3514	3657
245	3526	3641
246	3539	3625
247	3556	3613
248	3570	3599
249	3582	3582
250	3596	3568
251	3611	3554
252	3625	3539
253	3637	3523
254	3653	3510
255	3667	3495
256	3682	3481
257	3696	3467
258	3708	3451
259	3720	3434
260	3734	3419
261	3748	3405
262	3762	3390
263	3775	3375
264	3790	3361
265	3802	3345
266	3815	3330
267	3829	3315
268	3841	3298
269	3855	3284
270	3868	3268
271	3880	3253
272	3896	3239
273	3908	3223
274	3921	3208
275	3935	3194
276	3949	3179
277	3963	3164
278	3976	3149
279	3990	3135
280	4003	3120
281	4015	3104
282	4028	3088
283	4041	3073
284	4053	3057
285	4066	3043
286	4079	3027
287	4092	3012
288	4107	2998
289	4121	2984
290	4134	2969
291	4148	2955
292	4160	2939
293	4172	2923
294	4184	2908
295	4198	2893
296	4213	2879
297	4226	2864
298	4239	2849
299	4250	2833
300	4265	2819
301	4278	2805
302	4293	2791
303	4307	2776
304	4320	2762
305	4334	2748
306	4348	2733
307	4360	2718
308	4374	2704
309	4387	2689
310	4399	2673
311	4413	2659
312	4423	2643
313	4438	2628
314	4452	2614
315	4467	2601
