iter	Passed	Remaining
0	26	13347
1	74	18430
2	100	16655
3	115	14350
4	134	13349
5	148	12228
6	159	11203
7	178	10985
8	226	12341
9	263	12897
10	298	13252
11	323	13140
12	361	13547
13	400	13903
14	431	13962
15	444	13434
16	470	13376
17	513	13751
18	563	14255
19	609	14626
20	651	14853
21	661	14363
22	677	14044
23	692	13732
24	707	13449
25	732	13349
26	759	13307
27	793	13371
28	825	13405
29	867	13592
30	890	13467
31	929	13593
32	962	13620
33	996	13653
34	1009	13407
35	1028	13250
36	1066	13348
37	1105	13444
38	1153	13630
39	1186	13648
40	1216	13615
41	1242	13551
42	1279	13598
43	1297	13446
44	1310	13252
45	1352	13346
46	1381	13319
47	1397	13160
48	1414	13022
49	1448	13033
50	1472	12960
51	1494	12875
52	1526	12875
53	1560	12891
54	1598	12936
55	1637	12984
56	1682	13077
57	1716	13080
58	1734	12963
59	1762	12927
60	1776	12781
61	1795	12684
62	1823	12645
63	1854	12631
64	1894	12678
65	1925	12658
66	1954	12632
67	1991	12649
68	2010	12557
69	2041	12539
70	2073	12529
71	2086	12402
72	2117	12384
73	2163	12456
74	2195	12441
75	2233	12458
76	2269	12469
77	2289	12384
78	2315	12338
79	2339	12284
80	2378	12301
81	2406	12266
82	2435	12234
83	2457	12168
84	2475	12084
85	2500	12036
86	2524	11986
87	2574	12054
88	2627	12135
89	2671	12170
90	2715	12206
91	2762	12250
92	2795	12234
93	2824	12197
94	2837	12097
95	2861	12040
96	2885	11987
97	2901	11903
98	2912	11797
99	2932	11728
100	2958	11686
101	2986	11654
102	3019	11636
103	3053	11625
104	3083	11598
105	3121	11601
106	3158	11600
107	3191	11584
108	3217	11541
109	3245	11507
110	3260	11424
111	3275	11347
112	3298	11297
113	3330	11277
114	3358	11243
115	3369	11154
116	3390	11099
117	3409	11038
118	3420	10952
119	3433	10873
120	3451	10812
121	3468	10745
122	3486	10686
123	3518	10667
124	3540	10622
125	3562	10573
126	3594	10555
127	3602	10470
128	3622	10417
129	3656	10407
130	3698	10417
131	3730	10399
132	3762	10381
133	3776	10314
134	3793	10256
135	3826	10240
136	3873	10262
137	3904	10241
138	3933	10216
139	3961	10185
140	4001	10189
141	4046	10202
142	4067	10155
143	4078	10083
144	4093	10021
145	4110	9967
146	4138	9938
147	4181	9945
148	4214	9928
149	4261	9944
150	4287	9908
151	4332	9919
152	4357	9882
153	4393	9872
154	4424	9847
155	4465	9847
156	4492	9814
157	4532	9811
158	4543	9743
159	4557	9685
160	4579	9643
161	4609	9616
162	4620	9553
163	4638	9504
164	4666	9474
165	4694	9445
166	4721	9413
167	4766	9419
168	4799	9400
169	4810	9338
170	4836	9306
171	4875	9298
172	4891	9245
173	4916	9211
174	4955	9203
175	4998	9200
176	5016	9155
177	5035	9109
178	5049	9054
179	5058	8992
180	5089	8969
181	5135	8972
182	5159	8937
183	5184	8903
184	5218	8885
185	5229	8828
186	5240	8771
187	5260	8730
188	5294	8712
189	5318	8677
190	5349	8655
191	5367	8610
192	5380	8558
193	5392	8505
194	5408	8458
195	5422	8410
196	5443	8372
197	5475	8351
198	5512	8337
199	5552	8328
200	5586	8310
201	5609	8275
202	5629	8235
203	5658	8211
204	5705	8209
205	5732	8181
206	5763	8157
207	5790	8128
208	5821	8105
209	5851	8080
210	5896	8076
211	5939	8068
212	5966	8039
213	6017	8042
214	6035	8000
215	6049	7954
216	6079	7928
217	6092	7881
218	6105	7834
219	6120	7790
220	6134	7744
221	6150	7701
222	6162	7654
223	6175	7608
224	6195	7572
225	6210	7530
226	6233	7496
227	6254	7462
228	6270	7420
229	6294	7389
230	6324	7364
231	6334	7316
232	6367	7297
233	6409	7285
234	6451	7274
235	6477	7245
236	6501	7214
237	6542	7202
238	6571	7176
239	6618	7170
240	6652	7148
241	6676	7117
242	6708	7094
243	6736	7068
244	6751	7027
245	6772	6993
246	6813	6979
247	6861	6972
248	6887	6943
249	6904	6904
250	6918	6863
251	6937	6827
252	6973	6808
253	7017	6796
254	7053	6777
255	7077	6746
256	7114	6726
257	7156	6712
258	7194	6694
259	7217	6662
260	7261	6649
261	7288	6620
262	7320	6596
263	7346	6566
264	7380	6545
265	7425	6532
266	7453	6504
267	7477	6473
268	7494	6435
269	7515	6401
270	7546	6376
271	7590	6362
272	7619	6335
273	7666	6323
274	7702	6302
275	7749	6289
276	7780	6263
277	7826	6249
278	7853	6220
279	7898	6205
280	7945	6192
281	7990	6177
282	8020	6149
283	8058	6128
284	8098	6109
285	8116	6072
286	8130	6034
287	8155	6003
288	8201	5988
289	8245	5970
290	8271	5940
291	8302	5913
292	8330	5885
293	8339	5843
294	8353	5805
295	8378	5774
296	8401	5742
297	8410	5701
298	8444	5676
299	8468	5645
300	8480	5606
301	8490	5566
302	8503	5528
303	8550	5513
304	8593	5494
305	8631	5472
306	8673	5452
307	8716	5433
308	8745	5405
309	8769	5374
310	8815	5357
311	8848	5332
312	8881	5306
