Metric,Neighbors,Weights,Minkowski_p,Mean F1-Score,Std F1-Score
minkowski,11,distance,1,0.6294707873017019,0.011015334872178985
manhattan,11,distance,1,0.6294707873017019,0.011015334872178985
manhattan,11,distance,2,0.6294707873017019,0.011015334872178985
manhattan,11,uniform,1,0.6291989919095458,0.011408609412933823
manhattan,11,uniform,2,0.6291989919095458,0.011408609412933823
minkowski,11,uniform,1,0.6291989919095458,0.011408609412933823
manhattan,9,distance,2,0.628564906310414,0.011575190798470998
manhattan,9,distance,1,0.628564906310414,0.011575190798470998
minkowski,9,distance,1,0.628564906310414,0.011575190798470998
minkowski,9,uniform,1,0.627759070357233,0.011545055783886099
manhattan,9,uniform,2,0.627759070357233,0.011545055783886099
manhattan,9,uniform,1,0.627759070357233,0.011545055783886099
manhattan,7,distance,2,0.6217287896329865,0.009787228433262211
minkowski,7,distance,1,0.6217287896329865,0.009787228433262211
manhattan,7,distance,1,0.6217287896329865,0.009787228433262211
manhattan,7,uniform,2,0.620927089855593,0.0099961474953822
minkowski,7,uniform,1,0.620927089855593,0.0099961474953822
manhattan,7,uniform,1,0.620927089855593,0.0099961474953822
minkowski,5,distance,1,0.6142367489219,0.010846736409420889
manhattan,5,distance,2,0.6142367489219,0.010846736409420889
manhattan,5,distance,1,0.6142367489219,0.010846736409420889
manhattan,5,uniform,2,0.6141169400200793,0.011016980862104259
minkowski,5,uniform,1,0.6141169400200793,0.011016980862104259
manhattan,5,uniform,1,0.6141169400200793,0.011016980862104259
euclidean,11,uniform,2,0.6047842209587885,0.011945271724225765
minkowski,11,uniform,2,0.6047842209587885,0.011945271724225765
euclidean,11,uniform,1,0.6047842209587885,0.011945271724225765
euclidean,11,distance,2,0.6043852871820526,0.011852885822909604
euclidean,11,distance,1,0.6043852871820526,0.011852885822909604
minkowski,11,distance,2,0.6043852871820526,0.011852885822909604
minkowski,9,distance,2,0.6015646108802087,0.011645056923553864
euclidean,9,distance,1,0.6015646108802087,0.011645056923553864
euclidean,9,distance,2,0.6015646108802087,0.011645056923553864
euclidean,9,uniform,1,0.6014945431142534,0.012079311777060427
minkowski,9,uniform,2,0.6014945431142534,0.012079311777060427
euclidean,9,uniform,2,0.6014945431142534,0.012079311777060427
minkowski,3,uniform,1,0.6009890375732513,0.010948891686496608
manhattan,3,uniform,2,0.6009890375732513,0.010948891686496608
manhattan,3,uniform,1,0.6009890375732513,0.010948891686496608
minkowski,3,distance,1,0.6005802907115259,0.010771163970142435
manhattan,3,distance,2,0.6005802907115259,0.010771163970142435
manhattan,3,distance,1,0.6005802907115259,0.010771163970142435
minkowski,7,uniform,2,0.5988923677530409,0.012322480555430365
euclidean,7,uniform,1,0.5988923677530409,0.012322480555430365
euclidean,7,uniform,2,0.5988923677530409,0.012322480555430365
euclidean,7,distance,2,0.598661018797922,0.012186252744826629
minkowski,7,distance,2,0.598661018797922,0.012186252744826629
euclidean,7,distance,1,0.598661018797922,0.012186252744826629
minkowski,5,distance,2,0.5927526998493902,0.015481685102698567
euclidean,5,distance,2,0.5927526998493902,0.015481685102698567
euclidean,5,distance,1,0.5927526998493902,0.015481685102698567
minkowski,5,uniform,2,0.5926903757977781,0.015404650137385076
euclidean,5,uniform,2,0.5926903757977781,0.015404650137385076
euclidean,5,uniform,1,0.5926903757977781,0.015404650137385076
minkowski,3,uniform,2,0.5814455633570987,0.010576221275360974
euclidean,3,uniform,2,0.5814455633570987,0.010576221275360974
euclidean,3,uniform,1,0.5814455633570987,0.010576221275360974
euclidean,3,distance,2,0.5810853597798374,0.010818381053951342
euclidean,3,distance,1,0.5810853597798374,0.010818381053951342
minkowski,3,distance,2,0.5810853597798374,0.010818381053951342
chebyshev,5,uniform,2,0.46883363193530964,0.09376830647509403
chebyshev,5,uniform,1,0.46883363193530964,0.09376830647509403
chebyshev,3,distance,1,0.4494507942951624,0.010075426221375203
chebyshev,3,distance,2,0.4494507942951624,0.010075426221375203
chebyshev,3,uniform,2,0.44762318530596346,0.010062480523963632
chebyshev,3,uniform,1,0.44762318530596346,0.010062480523963632
chebyshev,5,distance,1,0.44215030487713375,0.009435924675596463
chebyshev,5,distance,2,0.44215030487713375,0.009435924675596463
chebyshev,11,distance,1,0.42916707664183706,0.14851753428555822
chebyshev,11,distance,2,0.42916707664183706,0.14851753428555822
chebyshev,9,distance,2,0.4266895634718929,0.15442907840743297
chebyshev,9,distance,1,0.4266895634718929,0.15442907840743297
chebyshev,11,uniform,2,0.42607846652288794,0.14923142362241135
chebyshev,11,uniform,1,0.42607846652288794,0.14923142362241135
chebyshev,9,uniform,1,0.42339188476105144,0.1599570249719661
chebyshev,9,uniform,2,0.42339188476105144,0.1599570249719661
chebyshev,7,distance,1,0.2529351065388032,0.09167820436369165
chebyshev,7,distance,2,0.2529351065388032,0.09167820436369165
chebyshev,7,uniform,1,0.21909373844273392,0.024415053738794178
chebyshev,7,uniform,2,0.21909373844273392,0.024415053738794178
