Final Estimator C,Tree Max Depth,Boost N Estimators,Boost Learning Rate,Mean F1-Score,Std F1-Score
1,10,200,0.1,0.7559404009673141,0.004298753146256162
10,10,200,0.1,0.7558155862391762,0.0038632754377475446
1,5,200,0.1,0.755675169670021,0.004388806474960864
10,7,200,0.1,0.7555971604649349,0.004244159609559383
10,5,200,0.1,0.7555347531008658,0.004454974501378862
1,7,200,0.1,0.7551447070754349,0.003942792359214176
0.1,5,200,0.1,0.7545362352757625,0.0034860951314572893
1,5,200,0.05,0.754442624229659,0.004742395095339215
1,10,200,0.05,0.7543022076605039,0.004526846680318364
10,5,200,0.05,0.7542085966144005,0.005071294364968887
10,10,200,0.05,0.7541617910913488,0.004270061708557427
10,7,200,0.05,0.7540213745221936,0.004581578307814245
1,7,100,0.1,0.7539589671581247,0.004910739872016765
1,7,200,0.05,0.7539589671581247,0.004434053098620616
1,10,100,0.1,0.7539433653171074,0.0042111678192149156
1,5,100,0.1,0.7538809579530386,0.004502692398784024
10,5,100,0.1,0.7538185505889694,0.005150829136771071
10,10,100,0.1,0.7537561432249006,0.004066846639685711
0.1,10,200,0.05,0.7537249395428661,0.00381496119568431
10,7,100,0.1,0.753724939542866,0.005325692487666275
0.1,10,200,0.1,0.7535533192916765,0.003930425499946153
0.1,7,200,0.1,0.753459708245573,0.003981558036887609
0.1,5,200,0.05,0.753397300881504,0.005357455029107093
0.1,5,100,0.1,0.7533348935174351,0.004087563246758809
0.1,7,100,0.1,0.7533192916764178,0.0038112586505214623
0.1,10,100,0.1,0.7531008659021764,0.004065769123151265
0.1,7,200,0.05,0.7529916530150558,0.00409071821875145
10,5,100,0.05,0.7511974412980733,0.004394792423126849
1,5,100,0.05,0.7508385989546766,0.004555897867101434
0.1,10,100,0.05,0.7493252203760045,0.003987972174446688
10,7,100,0.05,0.7490287853966768,0.005158620799442584
10,10,100,0.05,0.7490287853966768,0.004135930052397334
1,10,100,0.05,0.7490131835556596,0.0041620963176736536
0.1,7,100,0.05,0.7488571651454871,0.003141592533896949
1,7,100,0.05,0.7487479522583664,0.004842958219423478
0.1,5,100,0.05,0.7478430454793665,0.003321983323500599
