mean_test_score,param_estimator__n_estimators,param_estimator__learning_rate,param_estimator__estimator__max_depth,param_estimator__estimator__min_samples_split,param_estimator__estimator__min_samples_leaf,param_estimator__algorithm
0.8573836924036495,154,0.21892527128216444,8,8,9,SAMME
0.8404290344329481,66,0.5348793493196706,9,19,4,SAMME
0.8548215658578912,163,0.023763498182367167,9,10,2,SAMME
0.8472530066238899,74,0.1111999664226395,3,16,6,SAMME
0.848620525246363,229,0.6422500474336277,5,15,6,SAMME
0.8445903148460152,143,0.3990308404588032,9,5,2,SAMME
0.8579517257195006,199,0.15319315150559443,8,18,4,SAMME
0.8544797572732683,63,0.04447541043186938,9,17,5,SAMME
0.8592797266253818,103,0.05782684919514927,7,9,9,SAMME
0.8583050418843932,119,0.1436576217629986,8,7,8,SAMME
0.845527642951734,68,0.012898208672190986,7,2,10,SAMME
0.8589091111832353,63,0.14854634853534943,7,2,6,SAMME
0.8180430948172125,127,0.01013376821679001,1,6,7,SAMME
0.8046073194321963,190,0.989511829599615,1,13,9,SAMME
0.8336046442302291,50,0.01,10,2,10,SAMME
0.8465864272688467,182,0.01,4,2,4,SAMME
0.8577075947079973,53,0.057840980339438325,6,2,10,SAMME
0.857017537096311,300,0.09037825985970889,5,2,10,SAMME
0.8312284690806594,300,1.0,7,2,10,SAMME
0.8482591687120516,65,0.03497809424564084,4,4,9,SAMME
0.8567339967856075,50,0.23056536365479624,5,2,10,SAMME
0.8601872472581465,300,0.03741491618018878,6,20,1,SAMME
0.8417359578499977,65,0.010490357407435041,7,17,1,SAMME
0.8576015352971773,300,0.01,7,2,10,SAMME
0.8586713407915803,300,0.03678910629811476,8,2,10,SAMME
0.8386841582282777,300,0.03222535159519397,2,20,7,SAMME
0.8598868403999484,172,0.1757991134952235,6,20,10,SAMME
0.8583076504987499,300,0.018856508120845872,6,2,1,SAMME
0.8509433407504053,294,0.01062199224288594,10,13,2,SAMME
0.8603157112701407,183,0.08285438133585461,6,2,1,SAMME
0.8542470008490248,300,0.08625544276959062,10,5,10,SAMME
0.8596367544533621,191,0.06927818214182045,7,20,10,SAMME
0.8596696865181631,132,0.12405656918432986,6,20,1,SAMME
0.8597617374944473,207,0.04080337829601711,6,2,1,SAMME
0.8396713838357698,50,0.9857356774508215,5,13,10,SAMME
0.8528065359459924,52,0.12925230679595634,10,16,3,SAMME
0.8472386749720979,300,0.24108749356990344,3,15,4,SAMME
0.8583443017339463,294,0.24836210490438523,6,6,1,SAMME
0.8572393221406296,143,0.23953961012188996,6,20,1,SAMME
0.8512156627199368,286,0.04504121087020284,10,3,1,SAMME
0.8593785749543776,300,0.14655992896851322,7,2,10,SAMME
0.8571178472333377,300,0.018748245844781505,8,20,10,SAMME
0.8601718042967328,243,0.05396164661861416,7,2,10,SAMME
0.8598180152345766,188,0.11316021701997703,7,2,10,SAMME
0.8490363968416045,296,0.3134758465905761,10,17,7,SAMME
0.860491293298845,300,0.048665356824415335,7,2,1,SAMME
0.8298998244997531,62,0.33619696854487624,1,19,2,SAMME
