value,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators
0.8605416140558757,0.08079858285560716,6,7,14,93
0.8601359321896831,0.12619408122160208,6,5,16,143
0.8601092831196372,0.12496657184628245,6,6,15,100
0.8589722057345816,0.13320780259038462,6,10,9,94
0.8583703701342522,0.08000990406531275,7,6,19,63
0.8583058854139687,0.0598831886992147,7,7,13,57
0.8566007002448549,0.04810649238814342,7,7,13,50
0.8563179376182399,0.02792677734314588,9,1,20,249
0.8559342919820458,0.03167830150778793,5,8,11,196
0.852193944860959,0.15822083277952562,10,5,15,164
0.8509406120710263,0.3099164357826222,4,9,4,235
0.848924161420878,0.33607287447490997,9,3,2,61
0.8476420578864335,0.013388305184953549,5,7,15,102
0.8473674458919623,0.6723001333877334,4,1,5,194
0.8453149121548442,0.011338297995814992,4,5,12,144
0.8403564214219383,0.39483411151276104,3,3,18,131
0.8297192025056385,0.24092486759706544,1,3,5,158
0.8290112723168306,0.2775929809716342,1,3,8,268
0.826211310705989,0.7571024137466287,2,9,2,288
0.82356721028807,0.9189601365784167,8,4,17,117
