mean_test_accuracy,mean_test_roc_auc,param_estimator__solver,param_estimator__penalty,param_estimator__max_iter,param_estimator__tol,param_estimator__fit_intercept
0.6435701331887279,0.8581209259247615,saga,,500,0.001,True
0.6435701331887279,0.858116256829569,saga,,500,0.0001,True
0.6435701331887279,0.8581158976622717,saga,,500,1e-05,True
0.6428469163264495,0.8583980509609536,lbfgs,,500,0.001,True
0.6437629855928663,0.8581557928467408,lbfgs,,500,0.0001,True
0.6434254735388643,0.858113628262583,lbfgs,,500,1e-05,True
0.6435219171810134,0.8581190207902013,saga,,1000,0.001,True
0.6435219171810134,0.8581163701787965,saga,,1000,0.0001,True
0.6435701331887279,0.8581158976781452,saga,,1000,1e-05,True
0.6428469163264495,0.8583980509609536,lbfgs,,1000,0.001,True
0.6437629855928663,0.8581557928467408,lbfgs,,1000,0.0001,True
0.6434254735388643,0.858113628262583,lbfgs,,1000,1e-05,True
0.6434254851655843,0.858119799769451,saga,,2000,0.001,True
0.6435701331887279,0.858116301928637,saga,,2000,0.0001,True
0.6435701331887279,0.8581159461944046,saga,,2000,1e-05,True
0.6428469163264495,0.8583980509609536,lbfgs,,2000,0.001,True
0.6437629855928663,0.8581557928467408,lbfgs,,2000,0.0001,True
0.6434254735388643,0.858113628262583,lbfgs,,2000,1e-05,True
0.6436665884575969,0.8581201489377527,saga,,500,0.001,False
0.6435701331887279,0.8581163606996343,saga,,500,0.0001,False
0.6435701331887279,0.858115886367251,saga,,500,1e-05,False
0.6433290415234352,0.8580962877192742,lbfgs,,500,0.001,False
0.6440523746529134,0.8581035251982201,lbfgs,,500,0.0001,False
0.6435219055542933,0.8581099901435861,lbfgs,,500,1e-05,False
0.6435219171810134,0.8581201065038035,saga,,1000,0.001,False
0.6435701331887279,0.8581163150174731,saga,,1000,0.0001,False
0.6435701331887279,0.8581158630332955,saga,,1000,1e-05,False
0.6433290415234352,0.8580962877192742,lbfgs,,1000,0.001,False
0.6440523746529134,0.8581035251982201,lbfgs,,1000,0.0001,False
0.6435219055542933,0.8581099901435861,lbfgs,,1000,1e-05,False
0.6434737011732988,0.8581167337119971,saga,,2000,0.001,False
0.6435219171810134,0.8581160868760165,saga,,2000,0.0001,False
0.6435701331887279,0.8581158743548128,saga,,2000,1e-05,False
0.6433290415234352,0.8580962877192742,lbfgs,,2000,0.001,False
0.6440523746529134,0.8581035251982201,lbfgs,,2000,0.0001,False
0.6435219055542933,0.8581099901435861,lbfgs,,2000,1e-05,False
