mean_test_accuracy,mean_test_roc_auc,param_estimator__C,param_estimator__penalty,param_estimator__solver,param_estimator__max_iter
0.6322868316467226,0.848374564042334,0.01,l1,liblinear,100
0.6349872071200172,0.8508727710043834,0.01,l1,saga,100
0.6323352801888366,0.8524660729068906,0.01,l2,liblinear,100
0.6410629821746106,0.856336296572152,0.01,l2,saga,100
0.6324315029233061,0.848375366764996,0.01,l1,liblinear,1000
0.6349872071200172,0.8508724231988267,0.01,l1,saga,1000
0.6323352801888366,0.8524660729068906,0.01,l2,liblinear,1000
0.6410629821746106,0.8563364709152234,0.01,l2,saga,1000
0.6457882323176773,0.8584592515108918,0.1,l1,liblinear,100
0.6465115887005954,0.8584933753082016,0.1,l1,saga,100
0.6442934081846062,0.8582299674876946,0.1,l2,liblinear,100
0.6451613777105082,0.8584870473210497,0.1,l2,saga,100
0.6457400046832428,0.8584589843341914,0.1,l1,liblinear,1000
0.6465115887005954,0.8584932174732591,0.1,l1,saga,1000
0.6442934081846062,0.8582299674876946,0.1,l2,liblinear,1000
0.6454024577490809,0.8584847293397949,0.1,l2,saga,1000
0.6447273755074773,0.8583633904541316,1.0,l1,liblinear,100
0.6449684439193301,0.8583886862107593,1.0,l1,saga,100
0.6444863187223444,0.858249540750097,1.0,l2,liblinear,100
0.6440523397727534,0.858263643075675,1.0,l2,saga,100
0.6447273755074773,0.8583625554795768,1.0,l1,liblinear,1000
0.6447273638807574,0.8583683267167626,1.0,l1,saga,1000
0.6444863187223444,0.858249540750097,1.0,l2,liblinear,1000
0.6440523397727534,0.8582582799334985,1.0,l2,saga,1000
0.6437147928385916,0.8581445368265161,10.0,l1,liblinear,100
0.6437629972195862,0.8581930825025539,10.0,l1,saga,100
0.6435219055542933,0.8581393529966637,10.0,l2,liblinear,100
0.6436183375697225,0.8581757855608038,10.0,l2,saga,100
0.6437147928385916,0.858142769265281,10.0,l1,liblinear,1000
0.6436183491964425,0.8581479790844788,10.0,l1,saga,1000
0.6435219055542933,0.8581393529966637,10.0,l2,liblinear,1000
0.6435219171810134,0.8581380958940296,10.0,l2,saga,1000
0.6434736895465788,0.8581184732360143,100.0,l1,liblinear,100
0.6435218939275735,0.8581663550768844,100.0,l1,saga,100
0.6435219171810134,0.8581172518911997,100.0,l2,liblinear,100
0.6435219055542933,0.858164764898649,100.0,l2,saga,100
0.6434736895465788,0.8581170710204645,100.0,l1,liblinear,1000
0.6435219171810134,0.8581211410374066,100.0,l1,saga,1000
0.6435219171810134,0.8581172518911997,100.0,l2,liblinear,1000
0.6435219171810134,0.8581205157260291,100.0,l2,saga,1000
0.6435701331887279,0.8581166106313975,1000.0,l1,liblinear,100
0.6434736895465789,0.8581629130107732,1000.0,l1,saga,100
0.6435219171810134,0.8581157581732676,1000.0,l2,liblinear,100
0.6435219055542933,0.8581630194151455,1000.0,l2,saga,100
0.6435701331887279,0.8581170161178495,1000.0,l1,liblinear,1000
0.6435219171810134,0.8581184254671301,1000.0,l1,saga,1000
0.6435219171810134,0.8581157581732676,1000.0,l2,liblinear,1000
0.6435219171810134,0.8581182050352492,1000.0,l2,saga,1000
