mean_test_accuracy,mean_test_roc_auc,param_estimator__C,param_estimator__penalty,param_estimator__solver,param_estimator__max_iter
0.668113115893517,0.8467714454645083,0.01,l1,liblinear,100
0.67428503229554,0.8504434838928295,0.01,l1,saga,100
0.6707651590918974,0.8494426011333328,0.01,l2,liblinear,100
0.6799748932608973,0.8555721879194529,0.01,l2,saga,100
0.668113115893517,0.846770414357989,0.01,l1,liblinear,1000
0.6743332483032546,0.8504436979681804,0.01,l1,saga,1000
0.6707651590918974,0.8494426011333328,0.01,l2,liblinear,1000
0.6799748932608973,0.855571995247832,0.01,l2,saga,1000
0.6833017861664821,0.8582607964814203,0.1,l1,liblinear,100
0.6838321855047822,0.858206496676418,0.1,l1,saga,100
0.6798301638507139,0.8580710681955768,0.1,l2,liblinear,100
0.6826268085653581,0.858446827644707,0.1,l2,saga,100
0.6833982298086312,0.8582606993600418,0.1,l1,liblinear,1000
0.6837839694970677,0.8582062539528547,0.1,l1,saga,1000
0.6798301638507139,0.8580710681955768,0.1,l2,liblinear,1000
0.6824339561612198,0.8584407157361259,0.1,l2,saga,1000
0.682530318416329,0.8584195777793004,1.0,l1,liblinear,100
0.6825785344240437,0.8584291296770118,1.0,l1,saga,100
0.6822410339967617,0.8582911015401326,1.0,l2,liblinear,100
0.6827232057006273,0.858304401823873,1.0,l2,saga,100
0.682530318416329,0.8584140406460188,1.0,l1,liblinear,1000
0.6823856703931854,0.858430820844846,1.0,l1,saga,1000
0.6822410339967617,0.8582911015401326,1.0,l2,liblinear,1000
0.6826267969386381,0.8583029422027287,1.0,l2,saga,1000
0.6827714565885017,0.8581843193797447,10.0,l1,liblinear,100
0.682867888603931,0.8582325095089329,10.0,l1,saga,100
0.6827714449617818,0.8581845844698194,10.0,l2,liblinear,100
0.6828196725962163,0.8582218993209064,10.0,l2,saga,100
0.6827714565885017,0.8581851129232565,10.0,l1,liblinear,1000
0.6825785693042036,0.858187907718834,10.0,l1,saga,1000
0.6827714449617818,0.8581845844698194,10.0,l2,liblinear,1000
0.6826267969386381,0.8581834883026607,10.0,l2,saga,1000
0.6827232289540672,0.8581617038895499,100.0,l1,liblinear,100
0.6828196725962163,0.858214722404157,100.0,l1,saga,100
0.6828196725962163,0.8581644486776627,100.0,l2,liblinear,100
0.6827714565885017,0.8582139397164829,100.0,l2,saga,100
0.6828196609694964,0.8581635460546787,100.0,l1,liblinear,1000
0.6827232405807871,0.8581661307689401,100.0,l1,saga,1000
0.6828196725962163,0.8581644486776627,100.0,l2,liblinear,1000
0.6827232405807871,0.8581658906991825,100.0,l2,saga,1000
0.6825785809309236,0.8581599961840922,1000.0,l1,liblinear,100
0.6827232405807873,0.8582123276591325,1000.0,l1,saga,100
0.6826267969386381,0.8581587902761403,1000.0,l2,liblinear,100
0.6827714565885017,0.8582116919170462,1000.0,l2,saga,100
0.6825303649232091,0.8581615576336254,1000.0,l1,liblinear,1000
0.6827232405807871,0.8581623197170609,1000.0,l1,saga,1000
0.6826267969386381,0.8581587902761403,1000.0,l2,liblinear,1000
0.6827232405807871,0.858162592103611,1000.0,l2,saga,1000
