mean_test_score,param_estimator__n_estimators,param_estimator__learning_rate,param_estimator__estimator__max_depth,param_estimator__estimator__min_samples_split,param_estimator__estimator__min_samples_leaf,param_estimator__algorithm
0.836379723426162,154,0.21892527128216444,8,8,9,SAMME
0.8224282865348945,66,0.5348793493196706,9,19,4,SAMME
0.8374584980308757,163,0.023763498182367167,9,10,2,SAMME
0.8287328222084078,74,0.1111999664226395,3,16,6,SAMME
0.8260087172343049,229,0.6422500474336277,5,15,6,SAMME
0.8275560937608114,143,0.3990308404588032,9,5,2,SAMME
0.8390719983899633,199,0.15319315150559443,8,18,4,SAMME
0.8374014965748519,63,0.04447541043186938,9,17,5,SAMME
0.840146969857307,103,0.05782684919514927,7,9,9,SAMME
0.8390704079297798,119,0.1436576217629986,8,7,8,SAMME
0.828150731048955,300,0.01,4,14,1,SAMME
0.8345576181302434,300,0.01,10,14,10,SAMME
0.7576543590704456,273,0.9995146038259037,1,14,2,SAMME
0.8073830323021426,245,0.01,1,4,3,SAMME
0.8377100671178613,300,0.11398504492900005,5,2,1,SAMME
0.8376412359496417,300,0.01,7,20,1,SAMME
0.840288939035557,300,0.059346533191884494,8,2,1,SAMME
0.8374027758897711,292,0.03187246349981894,5,17,2,SAMME
0.8404456930201988,300,0.10903452610909369,7,2,1,SAMME
0.8352593839341932,291,0.12267749346224943,10,2,9,SAMME
0.8405007714950358,300,0.028671744158337887,7,2,1,SAMME
0.8103706173997118,271,0.056496601569537924,1,2,2,SAMME
0.8213342489857247,62,0.029040289938739857,3,4,6,SAMME
0.8394787575004903,300,0.04667968916774006,6,2,1,SAMME
0.8389998057784336,300,0.020481115167891494,6,20,1,SAMME
0.8359597974673736,67,0.2639003141253063,6,15,3,SAMME
0.8407506946236009,300,0.031019200381147492,8,20,10,SAMME
0.8408372980635017,300,0.08488362737727224,7,20,10,SAMME
0.8109163193905715,289,0.990320326347678,7,7,2,SAMME
0.8405899548523209,300,0.037411818470001426,7,20,1,SAMME
0.8263614180950949,75,0.010046962567771295,9,13,4,SAMME
0.8393345324577703,188,0.10634216404095725,6,20,10,SAMME
0.8358605290657068,300,0.03139253515257105,10,20,1,SAMME
0.8398257986643147,197,0.06550686073078098,8,2,10,SAMME
0.804929329791501,290,0.9880665309541007,10,19,8,SAMME
0.8348214835233602,54,0.13010721743442433,10,19,2,SAMME
0.8190282808904797,67,0.01018312679252277,6,6,10,SAMME
0.8158672765170074,54,0.9574859573054879,4,13,1,SAMME
0.8384868850770925,300,0.017241754532417795,8,20,1,SAMME
0.8360742451042273,55,0.09320028088890533,5,12,5,SAMME
0.8406391830559311,194,0.07666439341032955,7,20,1,SAMME
0.8405312464054372,300,0.047557252410869416,7,2,10,SAMME
0.8396467364128639,50,0.09329829496753467,7,20,1,SAMME
0.8401850830954622,229,0.038881508886347366,8,20,1,SAMME
0.8306495707224466,51,0.2861350121266387,4,4,9,SAMME
0.8393387013146663,300,0.03504321538817364,8,2,1,SAMME
0.831494938027096,53,0.02827251605337214,10,17,10,SAMME
