mean_test_accuracy,mean_test_roc_auc,param_estimator__C,param_estimator__penalty,param_estimator__solver,param_estimator__max_iter
0.6213901240346361,0.830865219443018,0.01,l1,liblinear,100
0.6243388719868944,0.8327308160843966,0.01,l1,saga,100
0.62040720805055,0.8340521532609122,0.01,l2,liblinear,100
0.6278024806927218,0.8386446277132034,0.01,l2,saga,100
0.6213433185115844,0.8308670306324851,0.01,l1,liblinear,1000
0.6244324830329979,0.8327312604454546,0.01,l1,saga,1000
0.62040720805055,0.8340521532609122,0.01,l2,liblinear,1000
0.6278024806927218,0.8386446837677262,0.01,l2,saga,1000
0.6328574771823074,0.840912560130452,0.1,l1,liblinear,100
0.634121226304704,0.8408906930779503,0.1,l1,saga,100
0.6307512286449801,0.840588272405465,0.1,l2,liblinear,100
0.631453311490756,0.8408518326569082,0.1,l2,saga,100
0.6329042827053593,0.8409111907555559,0.1,l1,liblinear,1000
0.634121226304704,0.8408905827459007,0.1,l1,saga,1000
0.6307512286449801,0.840588272405465,0.1,l2,liblinear,1000
0.6315937280599111,0.840850436886393,0.1,l2,saga,1000
0.631593728059911,0.840731514727992,1.0,l1,liblinear,100
0.6316873391060145,0.8407833778214833,1.0,l1,saga,100
0.6317341446290662,0.8406196316661237,1.0,l2,liblinear,100
0.6315937280599112,0.8406353997494893,1.0,l2,saga,100
0.6316405335829628,0.8407322535343299,1.0,l1,liblinear,1000
0.6315937280599111,0.8407258538718088,1.0,l1,saga,1000
0.6317341446290662,0.8406196316661237,1.0,l2,liblinear,1000
0.6314065059677041,0.8406211589372123,1.0,l2,saga,1000
0.6316873391060146,0.8404394845412355,10.0,l1,liblinear,100
0.6318277556751697,0.8405546392700518,10.0,l1,saga,100
0.6317341446290662,0.8404475094356026,10.0,l2,liblinear,100
0.631593728059911,0.8405397774099717,10.0,l2,saga,100
0.6316405335829629,0.8404399484957972,10.0,l1,liblinear,1000
0.6317341446290662,0.8404487568416126,10.0,l1,saga,1000
0.6317341446290662,0.8404475094356026,10.0,l2,liblinear,1000
0.6315469225368593,0.8404482385089256,10.0,l2,saga,1000
0.6317341446290663,0.8404083193158598,100.0,l1,liblinear,100
0.631780950152118,0.8405320662626996,100.0,l1,saga,100
0.6318277556751697,0.8404131274733044,100.0,l2,liblinear,100
0.6317341446290662,0.8405298689649102,100.0,l2,saga,100
0.6317341446290663,0.840408334217733,100.0,l1,liblinear,1000
0.6318277556751697,0.8404179601999358,100.0,l1,saga,1000
0.6318277556751697,0.8404131274733044,100.0,l2,liblinear,1000
0.631780950152118,0.8404179606609444,100.0,l2,saga,1000
0.631780950152118,0.840405629807288,1000.0,l1,liblinear,100
0.631780950152118,0.840527940838264,1000.0,l1,saga,100
0.6318277556751697,0.8404083411420696,1000.0,l2,liblinear,100
0.631780950152118,0.8405276712483472,1000.0,l2,saga,100
0.631780950152118,0.8404057107143229,1000.0,l1,liblinear,1000
0.6318277556751697,0.8404152755420897,1000.0,l1,saga,1000
0.6318277556751697,0.8404083411420696,1000.0,l2,liblinear,1000
0.6318277556751697,0.8404151944903526,1000.0,l2,saga,1000
