respondent_id,h1n1_vaccine,seasonal_vaccine
12230,0,1
8871,0,1
2390,0,1
9227,0,0
9064,0,0
3778,0,0
4975,0,0
5403,1,1
16588,0,1
12573,0,0
1572,0,1
18020,0,1
23752,0,1
18678,0,0
9877,1,1
13813,0,0
23856,0,1
3487,0,0
8797,0,1
8230,1,1
4581,0,0
12103,1,0
22448,1,1
26289,0,1
8705,0,0
5677,0,1
14494,0,0
19319,0,1
24545,0,0
13144,1,1
20446,0,0
3012,0,0
426,0,1
20995,1,1
7048,0,0
3110,0,0
21095,0,0
18266,0,0
15869,0,0
2336,0,0
23248,0,0
8701,0,0
14818,0,0
15274,0,0
1123,0,1
25010,1,1
20387,0,0
22924,1,1
9738,0,1
340,0,0
18827,0,0
15414,1,1
8696,0,1
12544,1,1
24290,0,1
10495,0,1
14718,0,0
1671,0,0
21823,0,0
22581,1,1
3172,1,1
18606,0,0
12274,0,1
18692,0,1
14725,0,0
10725,1,1
1350,0,1
16528,1,0
10519,0,1
15587,0,1
13523,0,0
7377,0,0
6424,0,1
1145,0,0
1914,0,1
10966,0,0
19326,0,0
8003,0,0
11276,0,0
24619,0,0
24135,1,1
10930,0,0
1006,0,0
14704,0,1
18124,0,0
1073,0,1
8292,0,0
13714,0,1
4407,0,1
10753,0,0
5262,1,1
6535,1,0
21204,0,0
3595,0,0
17522,0,0
574,0,0
23722,0,1
4930,1,0
15966,0,0
22112,1,0
14795,0,1
21535,1,1
2180,0,1
20682,0,1
17944,0,0
25547,0,0
16624,0,0
12546,0,0
9090,0,1
16479,0,0
15399,0,1
11871,0,1
22487,0,0
8724,0,0
24088,0,0
18355,1,1
20490,0,1
18752,0,0
19189,0,0
10260,0,1
12255,0,0
14528,0,0
23426,0,0
13749,0,1
24393,0,1
20008,0,0
13268,0,0
12282,1,1
11009,0,1
482,1,0
20504,0,0
18660,0,0
6068,1,1
198,1,1
12461,0,0
25022,1,0
19670,1,1
6353,0,0
14842,1,0
26423,0,0
18637,0,0
8089,0,1
6551,0,0
22059,0,0
25743,1,1
10422,0,0
13246,0,0
14603,0,0
13690,0,0
12980,0,1
20479,1,1
3784,1,1
5439,0,0
4316,0,0
19271,1,1
3277,0,0
8876,0,0
5567,1,1
11659,0,1
7443,0,1
13101,0,1
2262,0,0
10750,1,1
1216,0,0
1832,0,0
9703,0,1
9814,0,0
2854,0,0
17762,0,0
26287,0,1
11359,0,0
20347,0,1
22675,1,1
1901,0,1
8875,0,1
16152,0,1
11508,0,1
5762,0,0
25390,0,0
5859,0,0
14211,1,1
9534,0,1
8592,0,0
15170,1,1
19604,0,0
15849,1,1
15839,0,0
26169,0,0
14405,0,0
5122,0,1
25635,1,0
7321,0,0
8847,1,1
25128,0,1
25569,0,1
9582,1,0
5885,1,1
6234,0,0
